EV of rolling D dice with P points
P \ D	1	2	3	4	5	6
0	25	50	87	157	262	472
50	-8	28	73	147	254	469
100	-42	6	59	128	249	466
150	-75	-17	45	120	243	462
200	-108	-39	31	112	224	455
250	-142	-61	17	104	219	453
300	-175	-83	3	96	214	451
350	-208	-106	-10	88	209	449
400	-242	-128	-24	81	205	447
450	-275	-150	-38	73	200	445
500	-308	-172	-52	65	195	442
550	-342	-194	-66	57	183	441
600	-375	-217	-80	49	179	439
650	-408	-239	-94	41	176	437
700	-442	-261	-108	33	172	435
750	-475	-283	-122	25	168	434
800	-508	-306	-135	18	164	432
850	-542	-328	-149	10	160	430
900	-575	-350	-163	2	156	428
950	-608	-372	-177	-6	152	427
1000	-642	-394	-191	-14	149	425
1050	-675	-417	-205	-22	145	423
1100	-708	-439	-219	-30	141	421
1150	-742	-461	-233	-38	137	420
1200	-775	-483	-247	-45	133	418
1250	-808	-506	-260	-53	129	416
1300	-842	-528	-274	-61	125	414
1350	-875	-550	-288	-69	122	413
1400	-908	-572	-302	-77	118	411
1450	-942	-594	-316	-85	114	409
1500	-975	-617	-330	-93	110	407
1550	-1008	-639	-344	-100	106	398
1600	-1042	-661	-358	-108	102	397
1650	-1075	-683	-372	-116	98	395
1700	-1108	-706	-385	-124	95	394
1750	-1142	-728	-399	-132	91	392
1800	-1175	-750	-413	-140	87	391
1850	-1208	-772	-427	-148	83	389
1900	-1242	-794	-441	-156	79	388
1950	-1275	-817	-455	-163	75	386
2000	-1308	-839	-469	-171	71	385
2050	-1342	-861	-483	-179	68	383
2100	-1375	-883	-497	-187	64	382
2150	-1408	-906	-510	-195	60	381
2200	-1442	-928	-524	-203	56	379
2250	-1475	-950	-538	-211	52	374
2300	-1508	-972	-552	-219	48	373
2350	-1542	-994	-566	-226	44	372
2400	-1575	-1017	-580	-234	41	370
2450	-1608	-1039	-594	-242	37	369
2500	-1642	-1061	-608	-250	33	368
2550	-1675	-1083	-622	-258	29	367
2600	-1708	-1106	-635	-266	25	366
2650	-1742	-1128	-649	-274	21	365
2700	-1775	-1150	-663	-281	17	363
2750	-1808	-1172	-677	-289	14	362
2800	-1842	-1194	-691	-297	10	361
2850	-1875	-1217	-705	-305	6	360
2900	-1908	-1239	-719	-313	2	359
2950	-1942	-1261	-733	-321	-2	358
3000	-1975	-1283	-747	-329	-6	357
3050	-2008	-1306	-760	-337	-10	355
3100	-2042	-1328	-774	-344	-13	354
3150	-2075	-1350	-788	-352	-17	353
3200	-2108	-1372	-802	-360	-21	352
3250	-2142	-1394	-816	-368	-25	351
3300	-2175	-1417	-830	-376	-29	350
3350	-2208	-1439	-844	-384	-33	348
3400	-2242	-1461	-858	-392	-37	347
3450	-2275	-1483	-872	-400	-40	346
3500	-2308	-1506	-885	-407	-44	345
3550	-2342	-1528	-899	-415	-48	344
3600	-2375	-1550	-913	-423	-52	343
3650	-2408	-1572	-927	-431	-56	341
3700	-2442	-1594	-941	-439	-60	340
3750	-2475	-1617	-955	-447	-64	339
3800	-2508	-1639	-969	-455	-67	338
3850	-2542	-1661	-983	-462	-71	337
3900	-2575	-1683	-997	-470	-75	336
3950	-2608	-1706	-1010	-478	-79	335
4000	-2642	-1728	-1024	-486	-83	333
4050	-2675	-1750	-1038	-494	-87	332
4100	-2708	-1772	-1052	-502	-91	331
4150	-2742	-1794	-1066	-510	-94	330
4200	-2775	-1817	-1080	-518	-98	329
4250	-2808	-1839	-1094	-525	-102	328
4300	-2842	-1861	-1108	-533	-106	326
4350	-2875	-1883	-1122	-541	-110	325
4400	-2908	-1906	-1135	-549	-114	324
4450	-2942	-1928	-1149	-557	-118	323
4500	-2975	-1950	-1163	-565	-121	322
4550	-3008	-1972	-1177	-573	-125	321
4600	-3042	-1994	-1191	-581	-129	320
4650	-3075	-2017	-1205	-588	-133	318
4700	-3108	-2039	-1219	-596	-137	317
4750	-3142	-2061	-1233	-604	-141	316
4800	-3175	-2083	-1247	-612	-145	315
4850	-3208	-2106	-1260	-620	-148	314
4900	-3242	-2128	-1274	-628	-152	313
4950	-3275	-2150	-1288	-636	-156	311
5000	-3308	-2172	-1302	-644	-160	310
5050	-3342	-2194	-1316	-651	-164	309
5100	-3375	-2217	-1330	-659	-168	308
5150	-3408	-2239	-1344	-667	-172	307
5200	-3442	-2261	-1358	-675	-175	306
5250	-3475	-2283	-1372	-683	-179	304
5300	-3508	-2306	-1385	-691	-183	303
5350	-3542	-2328	-1399	-699	-187	302
5400	-3575	-2350	-1413	-706	-191	301
5450	-3608	-2372	-1427	-714	-195	300
5500	-3642	-2394	-1441	-722	-199	299
5550	-3675	-2417	-1455	-730	-202	298
5600	-3708	-2439	-1469	-738	-206	296
5650	-3742	-2461	-1483	-746	-210	295
5700	-3775	-2483	-1497	-754	-214	294
5750	-3808	-2506	-1510	-762	-218	293
5800	-3842	-2528	-1524	-769	-222	292
5850	-3875	-2550	-1538	-777	-226	291
5900	-3908	-2572	-1552	-785	-229	289
5950	-3942	-2594	-1566	-793	-233	288
6000	-3975	-2617	-1580	-801	-237	287
6050	-4008	-2639	-1594	-809	-241	286
6100	-4042	-2661	-1608	-817	-245	285
6150	-4075	-2683	-1622	-825	-249	284
6200	-4108	-2706	-1635	-832	-253	282
6250	-4142	-2728	-1649	-840	-256	281
