EV of rolling D dice with P points
P \ D	1	2	3	4	5	6
0	25	50	87	157	262	472
50	-8	28	73	147	254	469
100		6	59	128	249	466
150		-17	45	120	243	462
200			31	112	224	455
250			17	104	219	453
300			3	96	214	451
350			-10	88	209	449
400				81	205	447
450				73	200	445
500				65	195	442
550				57	183	441
600				49	179	439
650				41	176	437
700				33	172	435
750				25	168	434
800				18	164	432
850				10	160	430
900				2	156	428
950				-6	152	427
1000					149	425
1050					145	423
1100					141	421
1150					137	420
1200					133	418
1250					129	416
1300					125	414
1350					122	413
1400					118	411
1450					114	409
1500					110	407
1550					106	398
1600					102	397
1650					98	395
1700					95	394
1750					91	392
1800					87	391
1850					83	389
1900					79	388
1950					75	386
2000					71	385
2050					68	383
2100					64	382
2150					60	381
2200					56	379
2250					52	374
2300					48	373
2350					44	372
2400					41	370
2450					37	369
2500					33	368
2550					29	367
2600					25	366
2650					21	365
2700					17	363
2750					14	362
2800					10	361
2850					6	360
2900					2	359
2950					-2	358
3000						357
3050						355
3100						354
3150						353
3200						352
3250						351
3300						350
3350						348
3400						347
3450						346
3500						345
3550						344
3600						343
3650						341
3700						340
3750						339
3800						338
3850						337
3900						336
3950						335
4000						333
4050						332
4100						331
4150						330
4200						329
4250						328
4300						326
4350						325
4400						324
4450						323
4500						322
4550						321
4600						320
4650						318
4700						317
4750						316
4800						315
4850						314
4900						313
4950						311
5000						310
5050						309
5100						308
5150						307
5200						306
5250						304
5300						303
5350						302
5400						301
5450						300
5500						299
5550						298
5600						296
5650						295
5700						294
5750						293
5800						292
5850						291
5900						289
5950						288
6000						287
6050						286
6100						285
6150						284
6200						282
6250						281
6300						280
6350						279
6400						278
6450						277
6500						276
6550						274
6600						273
6650						272
6700						271
6750						270
6800						269
6850						267
6900						266
6950						265
7000						264
7050						263
7100						262
7150						260
7200						259
7250						258
7300						257
7350						256
7400						255
7450						254
7500						252
7550						251
7600						250
7650						249
7700						248
7750						247
7800						245
7850						244
7900						243
7950						242
8000						241
8050						240
8100						238
8150						237
8200						236
8250						235
8300						234
8350						233
8400						232
8450						230
8500						229
8550						228
8600						227
8650						226
8700						225
8750						223
8800						222
8850						221
8900						220
8950						219
9000						218
9050						216
9100						215
9150						214
9200						213
9250						212
9300						211
9350						210
9400						208
9450						207
9500						206
9550						205
9600						204
9650						203
9700						201
9750						200
9800						199
9850						198
9900						197
9950						196
10000						195
final cache size was 1053 items, we hit it 8969316 times
