EV of rolling D dice with P points
P \ D	1	2	3	4	5	6
0	25	50	80	142	255	461
50	-8	28	66	132	246	455
100	-42	6	52	114	204	446
150	-75	-17	38	106	199	443
200	-108	-39	24	99	194	440
250	-142	-61	10	91	189	438
300	-175	-83	-3	83	184	435
350	-208	-106	-17	75	179	432
400	-242	-128	-31	67	175	428
450	-275	-150	-45	59	170	424
500	-308	-172	-59	51	159	422
550	-342	-194	-73	44	155	419
600	-375	-217	-87	36	151	417
650	-408	-239	-101	28	147	415
700	-442	-261	-115	20	144	412
750	-475	-283	-128	12	140	410
800	-508	-306	-142	4	136	407
850	-542	-328	-156	-4	132	404
900	-575	-350	-170	-12	128	402
950	-608	-372	-184	-19	124	400
1000	-642	-394	-198	-27	120	397
1050	-675	-417	-212	-35	117	395
1100	-708	-439	-226	-43	113	392
1150	-742	-461	-240	-51	109	390
1200	-775	-483	-253	-59	105	361
1250	-808	-506	-267	-67	101	359
1300	-842	-528	-281	-75	97	358
1350	-875	-550	-295	-82	93	356
1400	-908	-572	-309	-90	90	355
1450	-942	-594	-323	-98	86	354
1500	-975	-617	-337	-106	82	352
1550	-1008	-639	-351	-114	78	351
1600	-1042	-661	-365	-122	74	349
1650	-1075	-683	-378	-130	70	348
1700	-1108	-706	-392	-138	66	346
1750	-1142	-728	-406	-145	63	345
1800	-1175	-750	-420	-153	59	343
1850	-1208	-772	-434	-161	55	342
1900	-1242	-794	-448	-169	51	337
1950	-1275	-817	-462	-177	47	336
2000	-1308	-839	-476	-185	43	334
2050	-1342	-861	-490	-193	39	333
2100	-1375	-883	-503	-200	36	332
2150	-1408	-906	-517	-208	32	331
2200	-1442	-928	-531	-216	28	330
2250	-1475	-950	-545	-224	24	329
2300	-1508	-972	-559	-232	20	328
2350	-1542	-994	-573	-240	16	326
2400	-1575	-1017	-587	-248	12	325
2450	-1608	-1039	-601	-256	9	324
2500	-1642	-1061	-615	-263	5	323
2550	-1675	-1083	-628	-271	1	322
2600	-1708	-1106	-642	-279	-3	321
2650	-1742	-1128	-656	-287	-7	319
2700	-1775	-1150	-670	-295	-11	318
2750	-1808	-1172	-684	-303	-15	317
2800	-1842	-1194	-698	-311	-18	316
2850	-1875	-1217	-712	-319	-22	315
2900	-1908	-1239	-726	-326	-26	314
2950	-1942	-1261	-740	-334	-30	312
3000	-1975	-1283	-753	-342	-34	311
3050	-2008	-1306	-767	-350	-38	310
3100	-2042	-1328	-781	-358	-42	309
3150	-2075	-1350	-795	-366	-45	308
3200	-2108	-1372	-809	-374	-49	307
3250	-2142	-1394	-823	-381	-53	306
3300	-2175	-1417	-837	-389	-57	304
3350	-2208	-1439	-851	-397	-61	303
3400	-2242	-1461	-865	-405	-65	302
3450	-2275	-1483	-878	-413	-69	301
